Date,Bitcoin
2016-06-06,2.499999999999999
2016-06-07,3.166666666666666
2016-06-08,4.833333333333332
2016-06-09,3.499999999999999
2016-06-10,2.999999999999999
2016-06-11,4.499999999999999
2016-06-12,0.0
2016-06-13,0.0
2016-06-14,0.6666666666666661
2016-06-15,0.16666666666666607
2016-06-16,0.0
2016-06-17,0.0
2016-06-18,0.16666666666666607
2016-06-19,1.9999999999999991
2016-06-20,1.5
2016-06-21,0.0
2016-06-22,0.5
2016-06-23,0.0
2016-06-24,0.0
2016-06-25,0.16666666666666607
2016-06-26,0.5
2016-06-27,0.6666666666666661
2016-06-28,1.666666666666666
2016-06-29,2.999999999999999
2016-06-30,2.166666666666666
2016-07-01,2.0
2016-07-02,1.6666666666666665
2016-07-03,1.7777777777777777
2016-07-04,1.5
2016-07-05,1.6666666666666665
2016-07-06,2.0
2016-07-07,2.111111111111111
2016-07-08,2.111111111111111
2016-07-09,4.111111111111111
2016-07-10,1.8888888888888888
2016-07-11,1.7222222222222223
2016-07-12,1.8888888888888888
2016-07-13,1.4444444444444446
2016-07-14,1.3333333333333335
2016-07-15,1.9444444444444446
2016-07-16,0.8888888888888888
2016-07-17,1.8333333333333335
2016-07-18,1.1111111111111112
2016-07-19,1.1111111111111112
2016-07-20,1.5555555555555558
2016-07-21,1.2222222222222223
2016-07-22,1.2777777777777777
2016-07-23,1.0
2016-07-24,0.38888888888888906
2016-07-25,1.0
2016-07-26,1.5555555555555558
2016-07-27,1.5555555555555558
2016-07-28,0.9444444444444446
2016-07-29,1.1111111111111112
2016-07-30,1.0555555555555558
2016-07-31,0.7777777777777781
2016-08-01,2.0
2016-08-02,2.0
2016-08-03,2.0
2016-08-04,2.0
2016-08-05,2.0
2016-08-06,2.0
2016-08-07,2.0
2016-08-08,2.0
2016-08-09,2.0
2016-08-10,2.0
2016-08-11,2.0
2016-08-12,2.0
2016-08-13,2.0
2016-08-14,2.0
2016-08-15,2.0
2016-08-16,2.0
2016-08-17,2.0
2016-08-18,2.0
2016-08-19,2.0
2016-08-20,2.0
2016-08-21,2.0
2016-08-22,2.0
2016-08-23,2.0
2016-08-24,2.0
2016-08-25,2.0
2016-08-26,2.0
2016-08-27,2.0
2016-08-28,2.0
2016-08-29,2.0
2016-08-30,2.0
2016-08-31,2.0
2016-09-01,2.0
2016-09-02,2.0
2016-09-03,2.0
2016-09-04,2.0
2016-09-05,2.0
2016-09-06,2.0
2016-09-07,2.0
2016-09-08,2.0
2016-09-09,2.0
2016-09-10,2.0
2016-09-11,2.0
2016-09-12,2.0
2016-09-13,2.0
2016-09-14,2.0
2016-09-15,2.0
2016-09-16,2.0
2016-09-17,2.0
2016-09-18,2.0
2016-09-19,2.0
2016-09-20,2.0
2016-09-21,2.0
2016-09-22,2.0
2016-09-23,2.0
2016-09-24,2.0
2016-09-25,2.0
2016-09-26,2.0
2016-09-27,2.0
2016-09-28,2.0
2016-09-29,2.0
2016-09-30,2.0
2016-10-01,3.0
2016-10-02,2.095238095238095
2016-10-03,2.380952380952381
2016-10-04,2.619047619047619
2016-10-05,2.380952380952381
2016-10-06,2.2857142857142856
2016-10-07,2.1904761904761902
2016-10-08,2.6666666666666665
2016-10-09,2.5238095238095237
2016-10-10,2.2857142857142856
2016-10-11,3.1904761904761902
2016-10-12,3.095238095238095
2016-10-13,3.0
2016-10-14,2.571428571428571
2016-10-15,2.952380952380952
2016-10-16,2.5238095238095237
2016-10-17,2.4285714285714284
2016-10-18,2.4761904761904763
2016-10-19,2.714285714285714
2016-10-20,3.0476190476190474
2016-10-21,2.333333333333333
2016-10-22,2.571428571428571
2016-10-23,3.2857142857142856
2016-10-24,2.380952380952381
2016-10-25,2.095238095238095
2016-10-26,3.6190476190476186
2016-10-27,3.6190476190476186
2016-10-28,3.238095238095238
2016-10-29,3.666666666666666
2016-10-30,3.571428571428571
2016-10-31,3.1904761904761902
2016-11-01,3.0
2016-11-02,3.0
2016-11-03,3.0
2016-11-04,3.0
2016-11-05,3.0
2016-11-06,3.0
2016-11-07,3.0
2016-11-08,3.0
2016-11-09,3.0
2016-11-10,3.0
2016-11-11,3.0
2016-11-12,3.0
2016-11-13,3.0
2016-11-14,3.0
2016-11-15,3.0
2016-11-16,3.0
2016-11-17,3.0
2016-11-18,3.0
2016-11-19,3.0
2016-11-20,3.0
2016-11-21,3.0
2016-11-22,3.0
2016-11-23,3.0
2016-11-24,3.0
2016-11-25,3.0
2016-11-26,3.0
2016-11-27,3.0
2016-11-28,3.0
2016-11-29,3.0
2016-11-30,3.0
2016-12-01,5.0
2016-12-02,5.08695652173913
2016-12-03,4.217391304347826
2016-12-04,4.130434782608695
2016-12-05,4.739130434782608
2016-12-06,5.173913043478261
2016-12-07,4.913043478260869
2016-12-08,4.478260869565217
2016-12-09,4.130434782608695
2016-12-10,4.913043478260869
2016-12-11,4.304347826086956
2016-12-12,4.913043478260869
2016-12-13,5.173913043478261
2016-12-14,4.391304347826087
2016-12-15,4.913043478260869
2016-12-16,4.739130434782608
2016-12-17,4.652173913043478
2016-12-18,4.652173913043478
2016-12-19,5.3478260869565215
2016-12-20,4.739130434782608
2016-12-21,6.304347826086956
2016-12-22,7.782608695652174
2016-12-23,9.26086956521739
2016-12-24,6.826086956521738
2016-12-25,7.521739130434782
2016-12-26,7.08695652173913
2016-12-27,6.652173913043478
2016-12-28,9.0
2016-12-29,8.130434782608695
2016-12-30,8.130434782608695
2016-12-31,6.652173913043478
2017-01-01,4.0
2017-01-02,0.0
2017-01-03,0.0
2017-01-04,0.0
2017-01-05,0.0
2017-01-06,0.0
2017-01-07,0.0
2017-01-08,0.0
2017-01-09,0.0
2017-01-10,1.0
2017-01-11,0.0
2017-01-12,0.0
2017-01-13,0.0
2017-01-14,0.0
2017-01-15,7.0
2017-01-16,3.0
2017-01-17,0.0
2017-01-18,0.0
2017-01-19,7.0
2017-01-20,7.0
2017-01-21,10.0
2017-01-22,10.0
2017-01-23,7.0
2017-01-24,8.0
2017-01-25,6.0
2017-01-26,6.0
2017-01-27,9.0
2017-01-28,12.0
2017-01-29,14.0
2017-01-30,12.0
2017-01-31,3.0
2017-02-01,5.0
2017-02-02,6.0
2017-02-03,7.428571428571429
2017-02-04,6.142857142857142
2017-02-05,5.571428571428571
2017-02-06,4.428571428571429
2017-02-07,5.0
2017-02-08,5.7142857142857135
2017-02-09,8.428571428571429
2017-02-10,5.7142857142857135
2017-02-11,5.7142857142857135
2017-02-12,4.428571428571429
2017-02-13,4.0
2017-02-14,3.428571428571429
2017-02-15,4.571428571428571
2017-02-16,4.428571428571429
2017-02-17,5.0
2017-02-18,4.285714285714285
2017-02-19,3.0
2017-02-20,3.428571428571429
2017-02-21,8.0
2017-02-22,7.428571428571429
2017-02-23,8.142857142857142
2017-02-24,9.714285714285714
2017-02-25,6.142857142857142
2017-02-26,5.571428571428571
2017-02-27,6.7142857142857135
2017-02-28,7.0
2017-03-01,4.0
